Section,Taxon,Origin,Voucher,ETS,ITS,atpB-rbcL,FcJ,trnL-trnF,FcB,FcL
Americana,Ficus albert-smithii Standley,French Guiana,Kjellberg 2006-020,AY730157,AY730069,GQ504314,GQ504387,GQ504461,GQ504535,GQ504387
Americana,Ficus americana guianensis parkeriana (Desv.) C.C. Berg,French Guiana,Kjellberg 2006-004,GQ504281,GQ504300,GQ504320,GQ504393,GQ504467,GQ504541,GQ504614
Americana,Ficus broadwayi Urban,French Guiana,Kjellberg 2006-303,AY730160,AY730072,GQ504316,GQ504389,GQ504463,GQ504537,GQ504610
Americana,Ficus caballina Standley,French Guiana,Kjellberg 2006-304,AY730161,AY730073,GQ504318,GQ504391,GQ504465,GQ504539,GQ504612
Americana,Ficus cattapifolia Kunth & C.D. Bouché,French Guiana,Kjellberg 2006-245,GQ504282,GQ504301,GQ504321,GQ504394,GQ504468,GQ504542,GQ504615
Americana,Ficus gomelleira Kunth & C.D. Bouché ,French Guiana,Kjellberg 2006-301,AY730169,AY730081,GQ504319,GQ504392,GQ504466,GQ504540,GQ504613
Americana,Ficus nymphaeifolia P. Miller,French Guyana,Kjellberg 2009-12-25-04,AY063527,AY063566,GQ504357,GQ504430,GQ504504,GQ504578,GQ504651
Americana,Ficus paludica Standley,French Guiana,Kjellberg 2006-147,GQ504283,GQ504302,GQ504322,GQ504395,GQ504469,GQ504543,GQ504616
Americana,Ficus paraensis (Miquel) Miquel ,French Guiana,Kjellberg 2006-140,AY730174,AY730086,GQ504317,GQ504390,GQ504464,GQ504538,GQ504611
Americana,Ficus trigona L.,French Guiana,Kjellberg 2006-300,DQ455688,DQ455669,GQ504315,GQ504388,GQ504462,GQ504536,GQ504609
Galoglychia,Ficus saussureana De Candolle,Living collection (P),Kjellberg 2008-12-25-03,GQ504279,AY730090,GQ504380,GQ504454,GQ504528,GQ504601,GQ504675
Galoglychia,Ficus lutea Vahl 1,Cameroun,Kjellberg 2007-05-029,GQ504289,AY063564,GQ504332,GQ504405,GQ504479,GQ504553,GQ504626
Galoglychia,Ficus lutea Vahl 2,Living collection (P),Kjellberg 2008-12-25-02,GQ504271,GQ504296,GQ504354,GQ504427,GQ504501,GQ504575,GQ504648
Platyphyllae,Ficus platyphylla Delile,Cameroun,Gibernau 1993-02,AY730181,AY730092,GQ504330,GQ504403,GQ504477,GQ504551,GQ504624
Platyphyllae,Ficus glumosa Delile 1,South Africa,Kjellberg 1999-09,AY063523,AY063562,GQ504324,GQ504397,GQ504471,GQ504545,GQ504618
Platyphyllae,Ficus glumosa Delile 2,Cameroun,Kjellberg 2007-05-006,GQ504288,GQ504307,GQ504331,GQ504404,GQ504478,GQ504552,GQ504625
Platyphyllae,Ficus stuhlmannii Warburg,South Africa,Kjellberg 1999-07,GQ504274,AY730094,GQ504371,GQ504444,GQ504518,GQ504592,GQ504665
Platyphyllae,Ficus jansii Boutique,Cameroun,Kjellberg 2007-05-034,GQ504292,GQ504310,GQ504335,GQ504408,GQ504482,GQ504556,GQ504629
Platyphyllae,Ficus trichopoda Baker 1,Madagascar,,GQ504280,DQ455666,GQ504381,GQ504455,GQ504529,GQ504602,GQ504676
Platyphyllae,Ficus trichopoda Baker 2,South Africa,,GQ504285,GQ504304,GQ504326,GQ504399,GQ504473,GQ504547,GQ504620
Chlamydodorae,Ficus calyptrata Vahl,Cameroun,Kjellberg 2007-05-423,DQ455676,DQ455648,GQ504341,GQ504414,GQ504488,GQ504562,GQ504635
Chlamydodorae,Ficus fisheri Mildbraed & Burret ,South Africa,Kjellberg 1999-26,AY730187,AY730098,GQ504374,GQ504447,GQ504521,GQ504595,GQ504668
Chlamydodorae,Ficus craterostoma Mildbraed & Burret  1,South Africa,Kjellberg 1999-25,GQ504276,AY730097,GQ504373,GQ504446,GQ504520,GQ504594,GQ504667
Chlamydodorae,Ficus craterostoma Mildbraed & Burret 2,Cameroun,Kjellberg 2007-05-033,GQ504290,GQ504308,GQ504333,GQ504406,GQ504480,GQ504554,GQ504627
Chlamydodorae,Ficus lingua ssp lingua De Wildeman & Durand ,Liv. col (C.) P1967-5459,Rønsted 67 (C.),AY730185,AY730096,GQ504345,GQ504418,GQ504492,GQ504566,GQ504639
Chlamydodorae,Ficus natalensis leprieuri (Miquel) C.C. Berg,Cameroun,Kjellberg 2007-05-412,AY730189,AY730100,GQ504344,GQ504417,GQ504491,GQ504565,GQ504638
Chlamydodorae,Ficus burtt-davyi Hutchinson,South Africa,Kjellberg 1999-08,DQ455675,DQ455647,GQ504323,GQ504396,GQ504470,GQ504544,GQ504617
Chlamydodorae,Ficus reflexaThunberg,Madagascar,,GQ504278,DQ455650,GQ504379,GQ504453,GQ504527,GQ504600,GQ504674
Chlamydodorae,Ficus thonningii Blume,Cameroun,Kjellberg 2007-05-468,GQ504294,GQ504312,GQ504337,GQ504410,GQ504484,GQ504558,GQ504631
Chlamydodorae,Ficus burkei (Miquel) Miquel,Liv. col. (NBG). 509-77,Forest 345 (NBG),AY730191,AY730102,GQ504346,GQ504419,GQ504493,GQ504567,GQ504640
Chlamydodorae,Ficus petersii Warburg,South Africa,Kjellberg 1999-06,GQ504273,AY730101,GQ504369,GQ504442,GQ504516,GQ504590,GQ504663
Crassicostae,Ficus elasticoides De Wildeman,Cameroun,Kjellberg 2007-05-413,AY730192,AY730103,GQ504343,GQ504416,GQ504490,GQ504564,GQ504637
Crassicostae,Ficus pseudomangifera Hutchinson,Cameroun,Kjellberg 2007-05-034,GQ504291,GQ504309,GQ504334,GQ504407,GQ504481,GQ504555,GQ504628
Crassicostae,Ficus usambarensis Warburg,Tanzania,Wrangham G7111 (K),DQ455677,DQ455653,GQ504347,GQ504420,GQ504494,GQ504568,GQ504641
Cyathistipulae,Ficus conraui Warburg 1,Gabon,Michaloud 13 26/1975 ,GQ504286,GQ504305,GQ504327,GQ504400,GQ504474,GQ504548,GQ504621
Cyathistipulae,Ficus conraui Warburg 2,Cameroun,Kjellberg 2007-05-013B,GQ504295,DQ455656,GQ504339,GQ504412,GQ504486,GQ504560,GQ504633
Cyathistipulae,Ficus tesselata Warburg,Ivory Coast,Lachaise 1994-01,DQ455682,DQ455662,GQ504363,GQ504436,GQ504510,GQ504584,GQ504657
Cyathistipulae,Ficus ardisioides camptoneura (Mildbraed) C.C. Berg,Cameroun,Rønsted 222 (K),DQ455678,DQ455655,GQ504348,GQ504421,GQ504495,GQ504569,GQ504642
Cyathistipulae,Ficus preussii Warburg,Cameroun,Kjellberg 2007-05-421,AY730194,AY730105,GQ504342,GQ504415,GQ504489,GQ504563,GQ504636
Cyathistipulae,Ficus cyathistipula Warburg,Cameroun,Kjellberg 2007-05-013A,DQ455679,DQ455657,GQ504338,GQ504411,GQ504485,GQ504559,GQ504632
Cyathistipulae,Ficus scassellatii Pampanini,"Liv. col. (BG), 88.293",Rønsted 110 (K),AY730196,AY730107,GQ504349,GQ504422,GQ504496,GQ504570,GQ504643
Cyathistipulae,Ficus scott-eliotti Mildbraed & Burret,Ivory Coast,Lachaise 1994-07,DQ455681,DQ455661,GQ504368,GQ504441,GQ504515,GQ504589,GQ504662
Cyathistipulae,Ficus densistipulata De Wildeman,Gabon,Michaloud 125 27-03-76,DQ455680,DQ455659,GQ504328,GQ504401,GQ504475,GQ504549,GQ504622
Cyathistipulae,Ficus lyrata Warburg,Ivory Coast,Lachaise 1993-03,AY730193,AY730104,GQ504364,GQ504437,GQ504511,GQ504585,GQ504658
Cyathistipulae,Ficus sagittifolia C.C. Berg ,"Liv. col. (K), K1986-3423",Chase 19852 (K),AY730195,AY730106,GQ504350,GQ504423,GQ504497,GQ504571,GQ504644
Cyathistipulae,Ficus wildemaniana De Wildeman & T. Durand ,"Liv. col. (BG), 88.281",Rønsted 143 (K),AY730197,AY730108,GQ504352,GQ504425,GQ504499,GQ504573,GQ504646
Caulocarpae,Ficus ottoniifolia ottoniifolia (Miquel) Miquel 1,Cameroun,Kjellberg 2007-05-437,GQ504293,GQ504483,GQ504336,GQ504409,GQ504483,GQ504557,GQ504630
Caulocarpae,Ficus ottoniifolia ottonifolia (Miquel) Miquel 2,Gabon,Michaloud 59 10/01/76,GQ504287,GQ504306,GQ504329,GQ504402,GQ504476,GQ504550,GQ504623
Caulocarpae,Ficus tremula Warburg,Liv. col. (NBG). 544-87,Forest 331 (NBG),AY730200,AY730111,GQ504351,GQ504424,GQ504498,GQ504572,GQ504645
Caulocarpae,Ficus polita Vahl,South Africa,Kjellberg 1999-06,GQ504275,DQ455643,GQ504372,GQ504445,GQ504519,GQ504593,GQ504666
Caulocarpae,Ficus bizanae Hutch & Burt-Davy,South Africa,Kjellberg 1999-27,DQ455670,DQ455636,GQ504370,GQ504443,GQ504517,GQ504591,GQ504664
Caulocarpae,Ficus sansibarica sansibarica Warburg,Malawi,Lachaise 1991-05,AY730199,GQ504298,GQ504366,GQ504439,GQ504513,GQ504587,GQ504660
Caulocarpae,Ficus umbellata Vahl,Liv. col. (BR),FB/S2813 (BR),DQ455674,DQ455644,GQ504353,GQ504426,GQ504500,GQ504574,GQ504647
Caulocarpae,Ficus bubu Warburg,Cameroun,Kjellberg 2007-05-397,DQ455671,DQ455637,GQ504340,GQ504413,GQ504487,GQ504561,GQ504634
Outgroup,Ficus ingens (Miquel) Miquel,South Africa,Kjellberg 1999-20,GQ504284,GQ504303,GQ504325,GQ504398,GQ504472,GQ504546,GQ504619
Outgroup,Ficus orthoneura Léveillé & Vaniot,China,Kjellberg 2006-07-22,GQ504277,GQ504299,GQ504377,GQ504451,GQ504525,GQ504598,GQ504672
Outgroup,Ficus carica L.,"Trabzon, Turkey",Kjellberg & Khadari 2002-Tz10,GQ504272,GQ504297,GQ504362,GQ504435,GQ504509,GQ504583,GQ504656
Outgroup,Ficus variegata Blume,Thailand,Kjellberg 2006-07-31,AY063539,AY063578,GQ504313,GQ504386,GQ504460,GQ504534,GQ504607
